Course,Cred_hours,Pre-req,Pred_1,Instructor_1,Pred_2,Instructor_2,Pred_3,Instructor_3,Pred_4,Instructor_4,Pred_5,Instructor_5,Pred_6,Instructor_6,Pred_7,Instructor_7,Pred_8,Instructor_8,Pred_9,Instructor_9,Pred_10,Instructor_10,Pred_11,Instructor_11,Pred_12,Instructor_12,Pred_13,Instructor_13,Pred_14,Instructor_14,Pred_15,Instructor_15,Pred_16,Instructor_16,Pred_17,Instructor_17,Pred_18,Instructor_18
ACCT 2101,3,,3.0328806992512924,"Schneider, Arnold",3.1250604758975427,"Turner, Deborah",3.158509027311487,"Schneider, Arnold",2.8766930858862056,"Schneider, Arnold",2.9755000006588794,"Turner, Deborah",3.2620985216798135,"Schneider, Arnold",2.952837054189752,"Schneider, Arnold",2.9854074295820325,"Turner, Deborah",3.2056213202144908,"Schneider, Arnold",2.8168816952296494,"Schneider, Arnold",3.072565827142587,"Turner, Deborah",3.2340391609456156,"Schneider, Arnold",2.9080653175081945,"Schneider, Arnold",2.9428211701123006,"Turner, Deborah",3.2189189065626014,"Schneider, Arnold",2.7834465012053817,"Schneider, Arnold",3.0670424168251924,"Turner, Deborah",3.2266561297236147,"Schneider, Arnold"
ACCT 2102,3,,3.3259026724612486,"Blunck, Ryan",3.513664830013747,"Kuang, Xi",3.2199853287421862,"Kuang, Xi",3.31029423661912,"Blunck, Ryan",3.518183988997005,"Kuang, Xi",3.2202853757626957,"Kuang, Xi",3.3568684026119913,"Blunck, Ryan",3.505319229033069,"Kuang, Xi",3.2275405881180887,"Kuang, Xi",3.3592641549325584,"Blunck, Ryan",3.5098126535871828,"Kuang, Xi",3.229542095934827,"Kuang, Xi",3.3420544916906314,"Blunck, Ryan",3.5044696857302844,"Kuang, Xi",3.2288465551043837,"Kuang, Xi",3.3424027846308,"Blunck, Ryan",3.50721070717751,"Kuang, Xi",3.228301493674375,"Kuang, Xi"
AE 1350,3,,,,3.3366666666666664,,,"Steinfeldt, Bradley",,,3.3366666666666664,,,"Steinfeldt, Bradley",,,3.3366666666666664,,,"Steinfeldt, Bradley",,,3.3366666666666664,,,"Steinfeldt, Bradley",,,3.3366666666666664,,,"Steinfeldt, Bradley",,,3.3366666666666664,,,"Steinfeldt, Bradley"
AE 1355,3,,4.0,,4.0,"Johnson, Carl",,"Johnson, Carl",4.0,,4.0,"Johnson, Carl",,"Johnson, Carl",4.0,,4.0,"Johnson, Carl",,"Johnson, Carl",4.0,,4.0,"Johnson, Carl",,"Johnson, Carl",4.0,,4.0,"Johnson, Carl",,"Johnson, Carl",4.0,,4.0,"Johnson, Carl",,"Johnson, Carl"
AE 1601,3,,3.883828200698481,"Griendling, Kelly",3.8437187058250077,"Griendling, Kelly",4.0,"Ruffin, Stephen",3.895058389310153,"Griendling, Kelly",3.8522935772109586,"Griendling, Kelly",4.0,"Ruffin, Stephen",3.8780283504672903,"Griendling, Kelly",3.830765722616432,"Griendling, Kelly",4.0,"Ruffin, Stephen",3.8857275668442703,"Griendling, Kelly",3.8432863595706683,"Griendling, Kelly",4.0,"Ruffin, Stephen",3.887006556640332,"Griendling, Kelly",3.8424770433257853,"Griendling, Kelly",4.0,"Ruffin, Stephen",3.8830265660766656,"Griendling, Kelly",3.8381743123210312,"Griendling, Kelly",4.0,"Ruffin, Stephen"
AE 2010,3,,3.2219723961672915,"Zaidi, Turab",2.968592223807271,"Zaidi, Turab",3.371028128482973,"Zaidi, Turab",3.251183062064493,"Zaidi, Turab",2.989907214299516,"Zaidi, Turab",3.3919162010852886,"Zaidi, Turab",3.259014450841767,"Zaidi, Turab",2.9391670480323198,"Zaidi, Turab",3.4494421971376754,"Zaidi, Turab",3.2506641927311035,"Zaidi, Turab",2.9631740896848893,"Zaidi, Turab",3.350503572957471,"Zaidi, Turab",3.2500518133140885,"Zaidi, Turab",2.930571288859242,"Zaidi, Turab",3.4546997588608668,"Zaidi, Turab",3.2521857379893624,"Zaidi, Turab",2.951384945663878,"Zaidi, Turab",3.372042142705791,"Zaidi, Turab"
AE 2011,3,,3.4792761377809267,"Zaidi, Turab",2.8776076747182633,"Zaidi, Turab",3.3483903265310713,"Zaidi, Turab",3.3669862776313373,"Zaidi, Turab",3.8587118665972957,"Zaidi, Turab",3.646636024112226,"Zaidi, Turab",3.309521982208388,"Zaidi, Turab",4.0846079446759775,"Zaidi, Turab",3.4297011189959075,"Zaidi, Turab",3.3535502543137503,"Zaidi, Turab",3.0713832984610168,"Zaidi, Turab",3.587100229997234,"Zaidi, Turab",3.3655698286571685,"Zaidi, Turab",3.7633710415208323,"Zaidi, Turab",3.472791460515353,"Zaidi, Turab",3.349811285350319,"Zaidi, Turab",4.006056942917337,"Zaidi, Turab",3.555777614105964,"Zaidi, Turab"
AE 2020,3,,2.755,"Scarborough, David",2.7800000000000002,"Scarborough, David",2.96,"Yeung, Pui-Kuen",2.755,"Scarborough, David",2.7800000000000002,"Scarborough, David",2.96,"Yeung, Pui-Kuen",2.755,"Scarborough, David",2.7800000000000002,"Scarborough, David",2.96,"Yeung, Pui-Kuen",2.755,"Scarborough, David",2.7800000000000002,"Scarborough, David",2.96,"Yeung, Pui-Kuen",2.755,"Scarborough, David",2.7800000000000002,"Scarborough, David",2.96,"Yeung, Pui-Kuen",2.755,"Scarborough, David",2.7800000000000002,"Scarborough, David",2.96,"Yeung, Pui-Kuen"
AE 2220,3,,3.3759569002215,"Zaidi, Turab",3.565042319059823,"Zaidi, Turab",3.7363468648283273,"Zaidi, Turab",3.4464564838581424,"Zaidi, Turab",3.5656068622417374,"Zaidi, Turab",3.693459185767125,"Zaidi, Turab",3.4115857570718804,"Zaidi, Turab",3.537820537882593,"Zaidi, Turab",3.728684241227848,"Zaidi, Turab",3.380966971389096,"Zaidi, Turab",3.5550978923016583,"Zaidi, Turab",3.7129850551626373,"Zaidi, Turab",3.415653755733212,"Zaidi, Turab",3.5629612978626812,"Zaidi, Turab",3.725434540324974,"Zaidi, Turab",3.420973629110429,"Zaidi, Turab",3.5462461995848416,"Zaidi, Turab",3.719702747776516,"Zaidi, Turab"
AE 2221,3,,3.4645454360581445,"Patil, Mayuresh",3.499999999999766,"Zaidi, Turab",2.33,"Zaidi, Turab",3.4025462914268823,"Patil, Mayuresh",3.499999999999766,"Zaidi, Turab",2.33,"Zaidi, Turab",3.4519167465705203,"Patil, Mayuresh",3.499999999999766,"Zaidi, Turab",2.33,"Zaidi, Turab",3.4319733050059487,"Patil, Mayuresh",3.499999999999766,"Zaidi, Turab",2.33,"Zaidi, Turab",3.4474997356741746,"Patil, Mayuresh",3.499999999999766,"Zaidi, Turab",2.33,"Zaidi, Turab",3.4410909671181873,"Patil, Mayuresh",3.499999999999766,"Zaidi, Turab",2.33,"Zaidi, Turab"
